mu,sigma,num_bots,volatility_threshold,5s_vol,5s_skew,5s_kurt,5s_n,20s_vol,20s_skew,20s_kurt,20s_n
1e-07,0.0001,50,0.0005,0.001723823864780235,-0.6832144411782198,-0.22481404293308138,6,0.0007137249607103158,,,2
1e-07,0.0001,50,0.001,0.0018646586146782553,-1.5188645370590081,2.6013278675505767,5,0.0022862051823935303,,,2
1e-07,0.0001,50,0.002,0.002039219619977917,0.9681442162059072,1.2406595078445264,7,0.0020715032944185197,,,2
1e-07,0.0001,500,0.0005,0.0019546623173745904,0.40990111578694965,1.0401064753166942,6,0.0006432477082745081,,,2
1e-07,0.0001,500,0.001,0.0017409832728502105,0.4926747102212353,-0.3729656902838183,6,0.0007145409378681578,,,2
1e-07,0.0001,500,0.002,0.0012754426822994447,-0.5537849195359178,-2.82800538898943,6,0.0008571429096209116,,,2
1e-07,0.0001,5000,0.0005,0.0010327020848919697,-0.9642377306308519,-1.0036050343933764,6,0.00047929780766032946,,,3
1e-07,0.0001,5000,0.001,0.0025332062588208025,0.4035656310100125,-1.1237744752961465,7,0.0007694723130933071,,,3
1e-07,0.0001,5000,0.002,0.0022811891798604146,0.9562858368241237,-0.5878784094729204,7,0.0007852936330747795,,,2
1e-07,0.0005,50,0.0005,0.000866033729677464,-0.028809186746340264,-5.833901190601041,5,0.0005715918989572799,,,2
1e-07,0.0005,50,0.001,0.0015255777647879521,0.019775996428942733,-1.9491350438348807,7,0.00130947794017423,,,3
1e-07,0.0005,50,0.002,0.0009783774899061186,-0.263223461738883,1.0770911993087058,6,0.0008557370557147337,,,2
1e-07,0.0005,500,0.0005,0.0031273155110897104,0.7122197416184182,-1.851802311369032,6,0.002853068982406448,,,2
1e-07,0.0005,500,0.001,0.0027428733076811838,1.8872503110929462,3.77591050896204,6,0.0022113644564569768,,,2
1e-07,0.0005,500,0.002,0.0029682124341366776,0.02577171535331596,-1.6876656753370947,6,0.0008553710693322003,,,2
1e-07,0.0005,5000,0.0005,0.0010329435191841856,-0.24731595007477167,-2.4892352588132933,6,0.0003572832222076272,,,2
1e-07,0.0005,5000,0.001,0.0017555603492089046,0.30304974210225893,-2.026914488955744,7,0.0005712245781888114,,,2
1e-07,0.0005,5000,0.002,0.0010472278178542914,0.0020557179400720184,1.1035522269374756,6,0.0015596822920393558,,,3
1e-07,0.001,50,0.0005,0.003311154369765203,0.4406416225128476,-1.1516224995183313,7,0.0012086311947285822,,,2
1e-07,0.001,50,0.001,0.0020293693855745,-0.9485700948270419,0.5592663485594631,6,0.003003219990535655,,,2
1e-07,0.001,50,0.002,0.006070654096825264,0.48006238835457504,-1.4048331817583195,7,0.005200367908568815,,,2
1e-07,0.001,500,0.0005,0.0007386097325374118,1.979260694921656,4.002593418996222,6,0.0007454853574934897,,,3
1e-07,0.001,500,0.001,0.001976871215337414,-0.41799161170924554,-1.3386892685290155,6,0.0011769028963121975,,,3
1e-07,0.001,500,0.002,0.002119620409375695,-0.7411721459337702,0.6629114017049087,6,0.0008567145522926367,,,2
1e-07,0.001,5000,0.0005,0.0006925883412696625,0.9920954257529895,1.716209897609966,6,0.0001428367378517592,,,2
1e-07,0.001,5000,0.001,0.0011091315216959438,0.8478346090486715,-1.954382593515878,6,0.0002857755252714256,,,2
1e-07,0.001,5000,0.002,0.0031652084538275503,-0.1705882705568792,-2.8318131677357234,6,0.0009292684467272494,,,2
1e-05,0.0001,50,0.0005,0.0022728970406033543,-0.4136862616606568,-1.441813773750165,7,0.0014729124121048917,,,3
1e-05,0.0001,50,0.001,0.0024648415091210528,1.4845916373045636,3.5868379859763113,7,0.0019265766421430186,,,2
1e-05,0.0001,50,0.002,0.003954817759100674,0.10135136861132679,-1.6999432034594104,7,0.003918919120059705,,,2
1e-05,0.0001,500,0.0005,0.0012074385209514106,0.08111414996839479,-1.8538433472295344,6,0.0011422045787776725,,,2
1e-05,0.0001,500,0.001,0.0005846459444790175,-1.5927864930982887,2.2653944948512894,6,0.00021423215706573018,,,2
1e-05,0.0001,500,0.002,0.0007212806407042721,1.8029395968185007,3.50231882022835,6,0.00071428574465493,,,2
1e-05,0.0001,5000,0.0005,0.0007353774084195795,0.41287471202368137,-1.3587133192107013,6,0.0007692865558473805,,,3
1e-05,0.0001,5000,0.001,0.0012061613795129403,-2.029350237959967,4.217224684823766,6,0.0007144388387052558,,,2
1e-05,0.0001,5000,0.002,0.0018504861014429787,1.6611569638850137,3.2786942382853965,6,0.0009997144505859978,,,2
1e-05,0.0005,50,0.0005,0.003237710064175952,0.6499794365388244,-1.4414349545418688,7,0.0015942309765406473,,,3
1e-05,0.0005,50,0.001,0.0029017264920598237,0.5748734845103578,1.099678143157628,7,0.00031952501295790523,,,3
1e-05,0.0005,50,0.002,0.0015913100151668288,-0.5820376118006224,0.05103025839530151,7,0.0015034905284299072,,,2
1e-05,0.0005,500,0.0005,0.0015426019154702235,-1.21475309712938,0.37115344605739864,6,0.0014993041754793879,,,2
1e-05,0.0005,500,0.001,0.0025311207156967688,0.2774345746746554,-0.2456488987448262,6,0.0021664409348875055,,,3
1e-05,0.0005,500,0.002,0.0034832290100965356,2.0382090963217654,4.232043609424332,6,0.0015647366212813009,,,3
1e-05,0.0005,5000,0.0005,0.0010834974844201178,-0.027589460145579153,-2.5338637309592027,6,7.1415818633902e-05,,,2
1e-05,0.0005,5000,0.001,0.0019667715983150732,0.9622000712061695,0.02834248281653373,6,0.0007146430662183789,,,2
1e-05,0.0005,5000,0.002,0.0024113584350884333,-0.33428040063374675,-2.388833000095109,6,0.0007141837184008182,,,2
1e-05,0.001,50,0.0005,0.0008686491708799895,0.9990420431809363,0.6009862152291632,7,0.00028563267831938077,,,2
1e-05,0.001,50,0.001,0.005771667893763538,0.19131278264324264,-2.3367102009984855,7,0.0033222483079933187,,,3
1e-05,0.001,50,0.002,0.0018903696308682737,-2.2949126096883212,5.3980389080843665,7,0.0017874383624292278,,,2
1e-05,0.001,500,0.0005,0.0041638464875758405,-0.6494104138109886,2.106661812671284,6,0.0012862657197167948,,,2
1e-05,0.001,500,0.001,0.0018801778726789903,0.5258934930673721,1.8530466951677198,6,0.0019981452448458725,,,2
1e-05,0.001,500,0.002,0.0011994323952220613,0.5983228230435943,-0.2622789390208444,6,0.0009284057085361397,,,2
1e-05,0.001,5000,0.0005,0.0014374408962779827,-1.249946402888518,1.683356724609367,7,0.000500232261118505,,,2
1e-05,0.001,5000,0.001,0.0009339099634741733,-0.8651054267900586,-0.5375371517511862,6,0.00045725968926747947,,,3
1e-05,0.001,5000,0.002,0.0027623503724141657,-1.3167324193322638,1.5798254273700723,7,0.0003570790968137061,,,2
0.001,0.0001,50,0.0005,0.002190806576863252,-0.37549038280067765,1.5366603172578701,7,0.0007676869400439009,,,3
0.001,0.0001,50,0.001,0.004234501416347903,-0.862151798978383,-0.1914403599856822,7,0.0009290028180917176,,,2
0.001,0.0001,50,0.002,0.004313745410790198,0.15480071458922287,-1.6287520916630207,6,0.003455030038276373,,,3
0.001,0.0001,500,0.0005,0.002116246299283932,0.6047904897793478,1.667614978877106,6,0.00021410983916503312,,,2
0.001,0.0001,500,0.001,0.0016503748696127208,1.0423209111856973,0.49040490569875317,6,0.000214385251116056,,,2
0.001,0.0001,500,0.002,0.0017981605123006219,-1.5937183096600018,2.739837930767859,6,0.0017865442276381316,,,2
0.001,0.0001,5000,0.0005,0.002098229619873017,0.5176510968432332,-3.1529414656244956,6,0.0,,,2
0.001,0.0001,5000,0.001,0.002106711908225812,-0.31502241786638036,-2.124274498692606,6,0.0018209557913577905,,,3
0.001,0.0001,5000,0.002,0.0017170018867859853,0.9561049713400526,1.0281832091991543,6,0.0009995003330836028,,,2
0.001,0.0005,50,0.0005,0.0017444392573956998,0.09024610590856394,0.3369424544867812,8,0.0005051303987609439,,,3
0.001,0.0005,50,0.001,0.0026722082141083397,0.1981913936362037,-0.3455457688695853,8,0.0012475032371447332,,,3
0.001,0.0005,50,0.002,0.002578413471122783,0.8170746100318416,-1.102456593455683,7,0.00014252120026991832,,,2
0.001,0.0005,500,0.0005,0.001869397415400862,0.7892640236703551,0.46437866335525335,6,0.0026055215321872287,,,3
0.001,0.0005,500,0.001,0.00206736113905501,0.9722830135041803,1.0286931584500572,6,0.0005713469659776038,,,2
0.001,0.0005,500,0.002,0.0021106223022924536,1.3123226538784927,0.8811362310947874,6,0.0016405724283075074,,,2
0.001,0.0005,5000,0.0005,0.0008419286767009271,0.6829448192599328,-1.7443344470977484,6,0.000928339410407375,,,2
0.001,0.0005,5000,0.001,0.0012458268510982056,-0.024280026965343534,-2.870814131213532,6,7.14260205301187e-05,,,2
0.001,0.0005,5000,0.002,0.002182856742410156,1.4121289156867534,1.4910780964459942,6,0.0009282731217465923,,,2
0.001,0.001,50,0.0005,0.0015161346625047845,0.41608559674627066,-1.2833085524609578,7,0.0015389710195092374,,,3
0.001,0.001,50,0.001,0.0010889045939150685,-0.9844109599550165,0.7397034969024441,7,0.0010700910598435698,,,2
0.001,0.001,50,0.002,0.0031293248936296396,-0.9870711357254157,-0.44909937919722953,7,0.0026446532693915614,,,2
0.001,0.001,500,0.0005,0.0014541217923888896,0.4778794119525548,0.19105095775474545,6,0.0011705911840964992,,,3
0.001,0.001,500,0.001,0.0007317610658507946,0.21809553552583583,0.09840919682410032,6,0.0006101848119926448,,,3
0.001,0.001,500,0.002,0.0010763986575808493,-1.1694678800954847,0.12250033178533926,6,0.0010001429609234336,,,2
0.001,0.001,5000,0.0005,0.0016948101319881495,1.0635040192986045,1.548394480229872,6,0.0010713904099741711,,,2
0.001,0.001,5000,0.001,0.0017751340066421662,0.6307282520467221,-0.18129157075342306,7,0.0005148411621456982,,,3
0.001,0.001,5000,0.002,0.0011930955909561613,0.700522071447177,-1.4202253061833021,6,0.0008574491414945484,,,2
